category,bname,author,tag,,,,
耽美,【耽美】卿御良辰,妖靈,穿越,冒險,耽美,戀愛,
同人,【HP】 春日之光與橘子樹,青蒼碧綠藍,虐心,甜文,二創,戀愛,校園
人文科普,幫您愛上古典文學,二葉亭租客,心情抒發,,,,
科幻,星??制?1：?邦??,芒果道?,重生,異國,冒險,快穿,戰鬥
玄幻,斷輪 第一篇 奪七曜,憶宇,冒險,不限,戰鬥,,
奇幻,七天三部曲,RICH,冒險,快穿,戰鬥,異界,
奇幻,開棺驗屍《第一卷—成為提刑官》,非賢君子,穿越,靈異神怪,異國,冒險,戀愛
生活風格,布奶日記,酸酸,輕鬆,,,,
同人,不真實的世界,地龍星風,不限,,,,
武俠仙俠,天地獨寵,三月雪,虐心,甜文,喜劇,穿越,戀愛
耽美,【聽風者】,藤山紫,虐心,悲劇,穿越,耽美,異界
百合,對我緊追不捨的前女友,白薔薇,虐心,甜文,喜劇,百合,校園
都會愛情,寧夏星辰,林絡緹,甜文,女性向,療癒,戀愛,日常
科幻,再不打籃球世界就要毀滅了,SadoKokoro,穿越,冒險,輕小說,戰鬥,異能
同人,閃電十一人-淺空,沁雪,輕小說,二創,不限,,
校園愛情,滄海遺珠,顧語墨Guyumo,不限,療癒,,,
其它,?拾?,貓曈,不限,療癒,,,
校園愛情,霧島聽風,俞淮,虐心,耽美,不限,校園,
生活風格,故事開端源於曲目,六六水汀,輕鬆,心情抒發,不限,日常,
其它,【暗殺教室1】,”千緒君‘’,青梅竹馬,戰鬥,戀愛,日常,校園
生活風格,數學再見，慢走不送,點點茶,心情抒發,日常,,,
都會愛情,伊甸的戀愛,tama,輕小說,青梅竹馬,戀愛,妹控,
都會愛情,知足常?（1v1）,??大?付,爽文,甜文,輕鬆,戀愛,
校園愛情,好好說再見,微光,喜劇,心情抒發,校園,,
百合,麟心有千千婕（GL）,鞠飲,喜劇,輕鬆,女性向,百合,異界
耽美,超莓好時光,央王日月,耽美,療癒,戀愛,日常,校園
其它,製作麵包,小屁孩,不限,日常,校園,,
恐怖靈異,短篇恐怖故事：商場怪談,問心,靈異神怪,妖怪,恐怖,,
古代愛情,重生之傾城天下,郁小瑤,輕鬆,重生,女性向,異界,戀愛
其它,未知,風無,爽文,輕小說,,,
校園愛情,她有個奇妙同學,安憂,爽文,輕鬆,,,
武俠仙俠,獸仙,歐沙,爽文,重生,靈異神怪,異界,妖怪
耽美,[原創耽美] 流浪者之王,喬哥,女性向,耽美,異界,,
校園愛情,微笑晚成,莫默,甜文,喜劇,戀愛,日常,校園
人文科普,神?,葛亦民,重生,異國,輕小說,異界,異能
同人,OVERLORD白銀的女武神,白鴉,穿越,二創,戰鬥,異界,
奇幻,某天穿越到惡役公主養成遊戲,本姑娘資質平平 / Shana.C,穿越,冒險,異界,戀愛,校園
生活風格,腐漫圖書館,聿水潺,耽美,心情抒發,,,
武俠仙俠,卿守玉,長相思,虐心,,,,
古代愛情,玨定真心愛著妳,星彩蝶妃,喜劇,穿越,異界,戀愛,異能
歷史,夢演春秋,平易年?,悲劇,異國,輕小說,戰鬥,
奇幻,靈妖世界,妙指禪,冒險,輕小說,戰鬥,異界,妖怪
商業理財,BTMIN交易所,何眠,不限,,,,
奇幻,見習騎士異聞譚?,冰?采,清水,輕小說,戰鬥,異界,校園
驚悚推理,邪紅的呼喚,月雨海魅,靈異神怪,冒險,異界,戀愛,恐怖
耽美,我們都重生了,夏血瞑,重生,女性向,耽美,,
耽美,以心相試,澤三,爽文,甜文,輕鬆,耽美,戀愛
生活風格,波波旅遊記,無常,日常,,,,
耽美,BL短篇作品集,米利藍亞,喜劇,異國,耽美,不限,日常
古代愛情,妖妃亂世：娶我可好,韶景,虐心,女性向,,,
校園愛情,愛情是我們能擁有的嗎？,佛系貓,耽美,不限,戀愛,校園,
百合,昕昕向融,Sarkez,輕鬆,百合,日常,,
校園愛情,藏在心裡的喜歡,京凝,不限,戀愛,校園,,
校園愛情,咦的隨筆/咦的小短文,咦,虐心,甜文,不限,戀愛,日常
都市,晶晶,Vivi,不限,,,,
科幻,夜影傳,藍夜,暗黑,輕小說,異能,,
耽美,鯊進你心,錢仔飛了飛,輕鬆,耽美,戀愛,日常,搞笑
生活風格,唯一,舒玲,戀愛,日常,,,
商業理財,TM,哭哭的十一月,男性向,,,,
校園愛情,浪花,沫,虐心,甜文,戀愛,校園,
驚悚推理,異瞳,寒熙,靈異神怪,冒險,輕小說,校園,恐怖
都會愛情,總裁不是人,小菲,甜文,輕鬆,女性向,,
藝術設計,光之所在－design,摸西摸西,輕鬆,心情抒發,不限,,
同人,〔家教同人/山本BG〕雨中的彩虹,菜蟲在啃高麗菜,女性向,療癒,戰鬥,戀愛,校園
同人,[咒迴同人〕當五條悟有女兒,菜蟲在啃高麗菜,二創,療癒,日常,校園,搞笑
奇幻,輪迴夢境,佐佐。,爽文,穿越,冒險,戰鬥,異能
同人,波西‧傑克森&混血營英雄&太陽神試煉 同人,甜味辛香料,輕鬆,靈異神怪,不限,搞笑,
驚悚推理,心若向陽,澪Ling,悲劇,暗黑,耽美,,
奇幻,【童話幻境系列之五】軟萌公主不軟萌,蘇妃雅,輕鬆,女性向,輕小說,戀愛,
校園愛情,壁虎小姐,開心果子,甜文,女性向,療癒,青梅竹馬,戀愛
其它,伴手禮製作,小屁孩,爽文,,,,
同人,文明傾頹,浪蒼,百合,二創,,,
同人,航向未來,浪蒼,百合,二創,,,
武俠仙俠,浮生似真醉晚林,不折花,虐心,重生,靈異神怪,戀愛,
同人,【柯南】不想過勞而死,墨磐蓮,穿越,耽美,,,
其它,【Artemis Mondo：LOKI<狩神天下‧逆神>】,Scaryn,冒險,輕小說,戰鬥,異能,
生活風格,子緣食記,馮子緣,輕鬆,不限,日常,,
文藝評論,?玉,阿芙蓉,甜文,青梅竹馬,戀愛,,
生活風格,校稿喃喃,露露小魚小麻雀,心情抒發,不限,日常,,
人文科普,議論,一角沏,暗黑,不限,日常,,
校園愛情,疼愛,秦枝,甜文,女性向,青梅竹馬,戀愛,校園
同人,【BLEACH】protect your own path,布丁,虐心,靈異神怪,二創,戀愛,日常
同人,【我英】英雄,夜羽凜,爽文,穿越,女性向,二創,搞笑
百合,妳造就的謊,落日焰,暗黑,戀愛,,,
玄幻,穿行者尼爾,意人子,穿越,冒險,男性向,戰鬥,異界
奇幻,數值世界,CG,虐心,暗黑,輕小說,,
都會愛情,落雨向薇光,攸青,虐心,甜文,療癒,戀愛,日常
商業理財,蔣明誠【明誠學院】,Panda,不限,,,,
其它,十二肖魂,Friend,靈異神怪,冒險,異能,,
武俠仙俠,陰陽先生,墨琴,靈異神怪,輕小說,校園,妖怪,妹控
藝術設計,morbid,Astaire,不限,,,,
同人,【暗殺教室】橙色天空下的願望,楓櫻,輕鬆,二創,,,
同人,【銀魂】銀魂短篇,小雪夜,甜文,輕鬆,女性向,耽美,
其它,哈利波特同人：Salvation 救贖,陳螞蟻,穿越,重生,二創,戰鬥,異能
其它,不正常的平行世界,幸佑 YUko,暗黑,心情抒發,不限,,
同人,[妖精尾巴 同人]月光之神,霜羽,輕鬆,冒險,青梅竹馬,戰鬥,日常
校園愛情,時光裡那個你,承愛羽,戀愛,校園,,,
玄幻,必修牽線實習課,隨楓,甜文,喜劇,青梅竹馬,戀愛,校園
玄幻,我的上司不是人,月兒彎,喜劇,輕鬆,靈異神怪,不限,
百合,光影天平,Flora.Kisaragi,甜文,百合,青梅竹馬,戀愛,日常
古代愛情,朝朝暮暮淚相思,HMY,虐心,悲劇,女性向,男性向,戀愛
耽美,??情愿但不??,不伐,甜文,輕鬆,女性向,耽美,校園
校園愛情,在灰燼中擁抱你,接近無限透明的藍,虐心,甜文,悲劇,戀愛,校園
古代愛情,藤華遺抄,toilet,虐心,穿越,異國,女性向,戀愛
奇幻,彼此的幸福,水無月雨,冒險,輕小說,日常,異能,妖怪
百合,創始之境,老娘,喜劇,輕鬆,冒險,百合,異能
奇幻,轉生魔女的異世界生存手則,陵夜,甜文,穿越,重生,輕小說,戰鬥
武俠仙俠,[氣度創作小說] [武學系列] [貳] 武學淵源,氣度,不限,戰鬥,異能,,
奇幻,凡間神使,星羽,冒險,校園,異能,,
奇幻,守護星之背叛,木靈,冒險,輕小說,戰鬥,校園,
校園愛情,我的戀愛顧問,木靈,青梅竹馬,戀愛,校園,,
校園愛情,月亮的背面是溫柔,一勺,虐心,喜劇,戀愛,校園,
奇幻,魔法夢,木靈,穿越,冒險,療癒,異界,校園
都市,殺手學院,李安心,暗黑,重生,冒險,戰鬥,日常
奇幻,動物靈,萌呆,靈異神怪,妖怪,恐怖,,
恐怖靈異,心願診所,萌呆,恐怖,,,,
校園愛情,《把喜歡藏進樹洞裡》,沾零,清水,戀愛,校園,,
驚悚推理,死神兄弟,鑷子,女性向,輕小說,日常,搞笑,
都市,同心,Aseer,輕鬆,女性向,戀愛,,
驚悚推理,贖罪迷宮,莎拉,暗黑,輕小說,不限,戰鬥,恐怖
人文科普,早該知道為何要團體戰對個人戰了,緋村劍心,男性向,心情抒發,不限,日常,校園
奇幻,《永恆》,蝶櫻,穿越,異國,異界,戀愛,
羅曼史,重生之我和妳有個約定,蘋果派,甜文,喜劇,穿越,重生,女性向
其它,【閃11】承諾,叩拉,二創,校園,,,
耽美,DSss,金沙排骨,悲劇,暗黑,耽美,戀愛,
耽美,截然不同的我們,?紫萱,清水,女性向,耽美,,
百合,一見鍾情,幼羽,虐心,悲劇,暗黑,女性向,百合
藝術設計,偶然｜Design,禾風,不限,,,,
校園愛情,三年,氧.O?.,甜文,輕小說,青梅竹馬,校園,
奇幻,轉生成為邪惡貴族的女兒,空想能手,虐心,穿越,重生,戰鬥,異界
藝術設計,諭魚諭魚水中游,諭魚,心情抒發,不限,,,
藝術設計,我想畫圖但我不想畫圖,不折花,心情抒發,不限,日常,,
耽美,昏等佳期,靈雅,甜文,女性向,耽美,療癒,戀愛
奇幻,影盾魔使Ⅲ　　迄起，顯露漸趨。,羅瑟,戰鬥,異界,,,
校園愛情,噓！那句話不能說出口：單戀的繼續犯,接近無限透明的藍,爽文,甜文,喜劇,戀愛,校園
同人,【排球少年】青色的我們 (青葉城西高校?青春),? ?,虐心,清水,二創,青梅竹馬,校園
百合,GL?婉春城,小酒不?酒,女性向,百合,療癒,青梅竹馬,戀愛
同人,〔特傳x第二人生〕鹹魚的守世界學習日常,令羽十,輕鬆,耽美,二創,,
耽美,Alpha被誤認成Omega白月光後,雨墨濂,虐心,甜文,女性向,耽美,日常
奇幻,胡竹人的短篇故事集,胡竹人,喜劇,輕鬆,靈異神怪,冒險,療癒
心靈養生,365天挑戰計畫：每天三件事,天海璁,爽文,心情抒發,療癒,,
藝術設計,戀愛中的人,梔荼°,甜文,心情抒發,戀愛,日常,搞笑
都會愛情,社畜叫了上?服?的男妓第二天就被封控了,一只西?,輕鬆,女性向,療癒,日常,
藝術設計,Dream,芯虹,輕鬆,心情抒發,不限,療癒,日常
玄幻,魔心,畫筠,不限,,,,
耽美,調教狂犬需揉捏愛撫,傻白,甜文,喜劇,輕鬆,耽美,
文藝評論,兄友弟恭（bl短篇集）,趣?味?干,女性向,耽美,心情抒發,,
耽美,【BL】謀士對呆瓜的挑戰書,瀨木葉子,甜文,女性向,戀愛,校園,搞笑
玄幻,玄幻：極樂淨土,白鴉,爽文,穿越,,,
溫馨勵志/成長療癒,Wait for sunrise~,曉空,輕鬆,心情抒發,,,
校園愛情,《時光總是很想你》,佐緒,甜文,女性向,戀愛,校園,搞笑
都市,重回那?年代,fengyu,重生,,,,
耽美,在校園超渡朋友……的心魔,辰海,爽文,甜文,耽美,校園,搞笑
百合,【GL】汽水美乃滋,黎胖,冒險,輕小說,耽美,百合,療癒
軍事戰爭/災難冒險,末世AI,月兔,百合,戰鬥,異界,妖怪,
古代愛情,穿越  傾心  相約,榆莙,虐心,甜文,輕鬆,穿越,戀愛
玄幻,打神,龍太子,靈異神怪,不限,戰鬥,戀愛,搞笑
玄幻,廢柴殺手,佛系貓,不限,搞笑,,,
百合,【GL】百合短篇小說集,黎胖,甜文,輕小說,百合,戀愛,節操
奇幻,?????????????????????????????????????????????人??偶??遊??戲,騎嵐玥,輕鬆,清水,冒險,耽美,
古代愛情,奼紫嫣紅落盡時,黑桃老么,虐心,戀愛,搞笑,,
古代愛情,死?（骨科）,趣?味?干,甜文,心情抒發,,,
百合,海蝸牛和貓葡萄（GL）,黎胖,甜文,耽美,百合,快穿,節操
校園愛情,穿越是種懲罰,貓又全宗,穿越,重生,不限,戀愛,日常
校園愛情,望北待返南,玖淒,甜文,戀愛,,,
藝術設計,鳳鳥的微小世界,鳳鳥,不限,,,,
都會愛情,你的模樣,一勺,虐心,女性向,戀愛,,
奇幻,利斯:蟲人記事,慵懶西米露,冒險,輕小說,戰鬥,異界,日常
校園愛情,我是女生耶,千翎,百合,戀愛,日常,校園,
古代愛情,以委託重獲新生,海市蜃樓,甜文,不限,戰鬥,戀愛,
奇幻,遲到百年的勇者,墨硯,穿越,冒險,戰鬥,異界,異能
藝術設計,《製圖．幻想曲》,真月,不限,,,,
商業理財,BTMIN防騙守則,Allon,不限,,,,
商業理財,BTMIN防詐騙,Allon,不限,,,,
生活風格,葉子的生活,戀楓,心情抒發,療癒,,,
校園愛情,我心中的那道流星,琉星,輕小說,戀愛,日常,校園,
商業理財,陳澤坤,戈爾巴羅夫,不限,,,,
藝術設計,無心的人,蝦蝦,輕鬆,,,,
校園愛情,睡夢中的笑容,細雨紛飛,耽美,校園,,,
古代愛情,武林學院,陳跡,甜文,穿越,女性向,戀愛,
同人,閃電十一人《赤血少女》,水無月雨,冒險,輕小說,二創,異能,妖怪
玄幻,元素大陸:黑暗與雷鳴,想寫寫不出來的小山豬,輕鬆,療癒,異界,異能,妖怪
其它,DAILY,白羽如霜(魚),心情抒發,日常,,,
都會愛情,你理想中的他,小鳥姐姐,女性向,戀愛,,,
校園愛情,學長，我可是男公關！,樹橪Amber,輕鬆,戀愛,日常,校園,搞笑
都會愛情,偏偏偏愛,貳貳,甜文,女性向,療癒,戀愛,
同人,Hololive 冒險故事,嘎逼,戰鬥,日常,,,
都會愛情,一天,談卿(TAN—QING),悲劇,,,,
武俠仙俠,鶻鷹搏九霄,颯沓,爽文,異國,冒險,心情抒發,戰鬥
生活風格,大寶鑑,豆漿,輕鬆,清水,心情抒發,不限,療癒
奇幻,劃破宿命之刃,八雲夜,冒險,輕小說,戰鬥,日常,搞笑
